WLCverse,curr,ckind
223,c810,Verbal clauses
223,c811,Nominal clauses
223,c812,Verbal clauses
223,c813,Nominal clauses
224,c814,Verbal clauses
224,c815,Verbal clauses
224,c816,Verbal clauses
224,c817,Clauses without predication
224,c818,Nominal clauses
225,c819,Nominal clauses
225,c820,Verbal clauses
226,c821,Verbal clauses
226,c822,Nominal clauses
226,c823,Verbal clauses
227,c824,Verbal clauses
227,c825,Verbal clauses
227,c826,Verbal clauses
228,c827,Verbal clauses
228,c828,Verbal clauses
229,c829,Verbal clauses
229,c830,Verbal clauses
229,c831,Verbal clauses
229,c832,Verbal clauses
229,c833,Nominal clauses
229,c834,Verbal clauses
230,c835,Verbal clauses
230,c836,Verbal clauses
230,c837,Verbal clauses
231,c838,Verbal clauses
231,c839,Verbal clauses
231,c840,Verbal clauses
232,c841,Verbal clauses
232,c842,Verbal clauses
232,c843,Verbal clauses
233,c844,Verbal clauses
233,c845,Verbal clauses
233,c846,Verbal clauses
234,c847,Verbal clauses
235,c848,Verbal clauses
235,c849,Verbal clauses
236,c850,Nominal clauses
236,c851,Verbal clauses
237,c852,Nominal clauses
238,c853,Nominal clauses
239,c854,Nominal clauses
240,c855,Verbal clauses
240,c856,Clauses without predication
240,c857,Verbal clauses
241,c858,Nominal clauses
242,c859,Nominal clauses
242,c860,Nominal clauses
243,c861,Verbal clauses
243,c862,Verbal clauses
243,c863,Verbal clauses
244,c864,Verbal clauses
244,c865,Verbal clauses
244,c866,Nominal clauses
245,c867,Verbal clauses
246,c868,Verbal clauses
246,c869,Verbal clauses
247,c870,Clauses without predication
247,c871,Nominal clauses
248,c872,Verbal clauses
249,c873,Clauses without predication
249,c874,Verbal clauses
249,c875,Clauses without predication
250,c876,Verbal clauses
251,c877,Clauses without predication
252,c878,Clauses without predication
253,c879,Clauses without predication
253,c880,Verbal clauses
254,c881,Verbal clauses
254,c882,Verbal clauses
254,c883,Verbal clauses
254,c884,Verbal clauses
254,c885,Verbal clauses
255,c886,Nominal clauses
256,c887,Verbal clauses
256,c888,Nominal clauses
257,c889,Nominal clauses
258,c890,Nominal clauses
259,c891,Verbal clauses
259,c892,Verbal clauses
260,c893,Verbal clauses
260,c894,Nominal clauses
260,c895,Verbal clauses
260,c896,Nominal clauses
261,c897,Verbal clauses
262,c898,Clauses without predication
263,c899,Clauses without predication
264,c900,Clauses without predication
264,c901,Nominal clauses
265,c902,Verbal clauses
265,c903,Verbal clauses
266,c904,Nominal clauses
267,c905,Nominal clauses
267,c906,Verbal clauses
268,c907,Verbal clauses
269,c908,Verbal clauses
269,c909,Verbal clauses
269,c910,Verbal clauses
269,c911,Verbal clauses
270,c912,Verbal clauses
270,c913,Clauses without predication
270,c914,Verbal clauses
270,c915,Verbal clauses
270,c916,Verbal clauses
270,c917,Verbal clauses
270,c918,Verbal clauses
271,c919,Verbal clauses
271,c920,Verbal clauses
271,c921,Verbal clauses
271,c922,Nominal clauses
271,c923,Verbal clauses
271,c924,Verbal clauses
272,c925,Verbal clauses
272,c926,Verbal clauses
272,c927,Verbal clauses
273,c928,Verbal clauses
273,c929,Nominal clauses
273,c930,Nominal clauses
273,c931,Nominal clauses
273,c932,Verbal clauses
273,c933,Verbal clauses
273,c934,Verbal clauses
273,c935,Verbal clauses
273,c936,Verbal clauses
274,c937,Verbal clauses
274,c938,Verbal clauses
274,c939,Verbal clauses
274,c940,Verbal clauses
274,c941,Clauses without predication
275,c942,Verbal clauses
275,c943,Verbal clauses
275,c944,Verbal clauses
276,c945,Verbal clauses
276,c946,Verbal clauses
276,c947,Verbal clauses
277,c948,Nominal clauses
277,c949,Nominal clauses
277,c950,Verbal clauses
278,c951,Verbal clauses
278,c952,Verbal clauses
278,c953,Verbal clauses
278,c954,Verbal clauses
279,c955,Verbal clauses
279,c956,Verbal clauses
280,c957,Verbal clauses
280,c958,Verbal clauses
280,c959,Verbal clauses
280,c960,Verbal clauses
281,c961,Verbal clauses
281,c962,Verbal clauses
282,c963,Verbal clauses
282,c964,Verbal clauses
282,c965,Verbal clauses
282,c966,Verbal clauses
283,c967,Verbal clauses
283,c968,Verbal clauses
284,c969,Verbal clauses
284,c970,Verbal clauses
284,c971,Verbal clauses
284,c972,Verbal clauses
285,c973,Verbal clauses
285,c974,Verbal clauses
286,c975,Verbal clauses
286,c976,Verbal clauses
286,c977,Verbal clauses
286,c978,Verbal clauses
287,c979,Verbal clauses
287,c980,Verbal clauses
288,c981,Verbal clauses
288,c982,Verbal clauses
288,c983,Verbal clauses
288,c984,Verbal clauses
289,c985,Verbal clauses
289,c986,Verbal clauses
290,c987,Verbal clauses
290,c988,Verbal clauses
290,c989,Verbal clauses
290,c990,Verbal clauses
291,c991,Verbal clauses
291,c992,Verbal clauses
292,c993,Verbal clauses
292,c994,Verbal clauses
292,c995,Verbal clauses
292,c996,Verbal clauses
293,c997,Verbal clauses
293,c998,Verbal clauses
294,c1000,Verbal clauses
294,c1001,Verbal clauses
294,c999,Nominal clauses
295,c1002,Verbal clauses
296,c1003,Verbal clauses
296,c1004,Nominal clauses
296,c1005,Nominal clauses
297,c1006,Verbal clauses
297,c1007,Nominal clauses
298,c1008,Verbal clauses
298,c1009,Verbal clauses
298,c1010,Verbal clauses
298,c1011,Verbal clauses
298,c1012,Verbal clauses
299,c1013,Verbal clauses
299,c1014,Verbal clauses
300,c1015,Verbal clauses
300,c1016,Verbal clauses
300,c1017,Verbal clauses
301,c1018,Verbal clauses
301,c1019,Verbal clauses
301,c1020,Verbal clauses
301,c1021,Verbal clauses
302,c1022,Verbal clauses
302,c1023,Verbal clauses
302,c1024,Verbal clauses
303,c1025,Verbal clauses
303,c1026,Verbal clauses
303,c1027,Verbal clauses
303,c1028,Nominal clauses
303,c1029,Verbal clauses
304,c1030,Verbal clauses
304,c1031,Verbal clauses
304,c1032,Verbal clauses
304,c1033,Verbal clauses
304,c1034,Verbal clauses
304,c1035,Verbal clauses
304,c1036,Verbal clauses
305,c1037,Verbal clauses
305,c1038,Nominal clauses
306,c1039,Verbal clauses
306,c1040,Verbal clauses
306,c1041,Verbal clauses
306,c1042,Verbal clauses
306,c1043,Verbal clauses
307,c1044,Verbal clauses
307,c1045,Verbal clauses
307,c1046,Nominal clauses
307,c1047,Nominal clauses
307,c1048,Verbal clauses
307,c1049,Verbal clauses
308,c1050,Verbal clauses
309,c1051,Verbal clauses
309,c1052,Verbal clauses
309,c1053,Verbal clauses
309,c1054,Nominal clauses
310,c1055,Verbal clauses
310,c1056,Verbal clauses
310,c1057,Verbal clauses
310,c1058,Verbal clauses
310,c1059,Verbal clauses
310,c1060,Nominal clauses
311,c1061,Verbal clauses
311,c1062,Verbal clauses
311,c1063,Verbal clauses
311,c1064,Nominal clauses
311,c1065,Verbal clauses
311,c1066,Verbal clauses
