WLCverse,curr,ctype
154,c585,x-yiqtol-null clause
154,c586,We-x-yiqtol-null clause
154,c587,We-x-yiqtol-null clause
154,c588,x-yiqtol-null clause
155,c589,Casus pendens
155,c590,Participle clause
155,c591,Infinitive construct clause
155,c592,Nominal clause
155,c593,Infinitive construct clause
155,c594,X-yiqtol clause
155,c595,Nominal clause
155,c596,X-yiqtol clause
156,c597,We-qatal-null clause
156,c598,We-qatal-X clause
157,c599,Casus pendens
157,c600,x-yiqtol-null clause
157,c601,Infinitive construct clause
157,c602,x-yiqtol-null clause
158,c603,Casus pendens
158,c604,X-yiqtol clause
158,c605,Infinitive construct clause
159,c606,We-X-imperative clause
159,c607,x-yiqtol-null clause
159,c608,We-qatal-null clause
159,c609,We-qatal-null clause
160,c610,Wayyiqtol-X clause
160,c611,x-qatal-X clause
160,c612,x-qatal-null clause
161,c613,Wayyiqtol-X clause
161,c614,Zero-imperative-X clause
161,c615,x-qatal-null clause
162,c616,x-yiqtol-null clause
162,c617,Ellipsis
162,c618,Adjective clause
162,c619,Ellipsis
163,c620,Ellipsis
163,c621,Infinitive construct clause
164,c622,Participle clause
164,c623,We-qatal-null clause
164,c624,x-qatal-null clause
164,c625,We-qatal-null clause
165,c626,Wayyiqtol-X clause
165,c627,x-qatal-X clause
166,c628,Nominal clause
166,c629,We-X-qatal clause
166,c630,Nominal clause
167,c631,Wayyiqtol-X clause
168,c632,X-qatal clause
168,c633,Adjective clause
168,c634,X-qatal clause
168,c635,Participle clause
169,c636,X-qatal clause
169,c637,x-qatal-X clause
170,c638,Wayyiqtol-null clause
170,c639,We-X-qatal clause
171,c640,x-qatal-X clause
171,c641,We-X-qatal clause
172,c642,Wayyiqtol-X clause
173,c643,x-qatal-X clause
174,c644,Ellipsis
174,c645,Participle clause
174,c646,Ellipsis
175,c647,Wayyiqtol-X clause
175,c648,Nominal clause
176,c649,We-X-qatal clause
176,c650,Participle clause
176,c651,We-X-qatal clause
176,c652,x-qatal-X clause
176,c653,Wayyiqtol-X clause
177,c654,Wayyiqtol-X clause
177,c655,Wayyiqtol-X clause
177,c656,Wayyiqtol-null clause
177,c657,Wayyiqtol-null clause
178,c658,Wayyiqtol-X clause
178,c659,Wayyiqtol-null clause
178,c660,Wayyiqtol-X clause
179,c661,We-X-qatal clause
179,c662,Wayyiqtol-X clause
179,c663,Nominal clause
180,c664,x-qatal-X clause
180,c665,Wayyiqtol-X clause
181,c666,Wayyiqtol-X clause
181,c667,Participle clause
181,c668,Wayyiqtol-X clause
181,c669,Participle clause
181,c670,Wayyiqtol-X clause
182,c671,X-qatal clause
182,c672,Nominal clause
182,c673,X-qatal clause
182,c674,Nominal clause
182,c675,X-qatal clause
183,c676,Wayyiqtol-null clause
183,c677,Nominal clause
183,c678,Wayyiqtol-null clause
183,c679,Wayyiqtol-null clause
183,c680,Wayyiqtol-X clause
183,c681,Nominal clause
184,c682,Wayyiqtol-X clause
185,c683,Wayyiqtol-X clause
185,c684,Nominal clause
185,c685,Wayyiqtol-X clause
185,c686,Wayyiqtol-X clause
186,c687,Wayyiqtol-X clause
186,c688,Wayyiqtol-X clause
187,c689,Wayyiqtol-X clause
187,c690,Wayyiqtol-X clause
188,c691,Wayyiqtol-X clause
189,c692,We-X-qatal clause
189,c693,x-qatal-X clause
190,c694,Wayyiqtol-null clause
190,c695,Wayyiqtol-X clause
190,c696,x-qatal-null clause
191,c697,Wayyiqtol-null clause
191,c698,Wayyiqtol-null clause
191,c699,Infinitive construct clause
192,c700,Wayyiqtol-null clause
192,c701,Infinitive construct clause
192,c702,x-qatal-X clause
193,c703,We-x-qatal-X clause
193,c704,Wayyiqtol-null clause
193,c705,Nominal clause
193,c706,Wayyiqtol-null clause
193,c707,Wayyiqtol-null clause
193,c708,Wayyiqtol-null clause
194,c709,Wayyiqtol-null clause
194,c710,Wayyiqtol-null clause
194,c711,Infinitive construct clause
195,c712,Wayyiqtol-X clause
195,c713,Nominal clause
195,c714,Wayyiqtol-X clause
195,c715,x-qatal-X clause
196,c716,Wayyiqtol-null clause
196,c717,Wayyiqtol-null clause
196,c718,We-x-qatal-null clause
196,c719,Infinitive construct clause
197,c720,Wayyiqtol-null clause
197,c721,x-qatal-X clause
197,c722,Wayyiqtol-X clause
197,c723,Wayyiqtol-null clause
197,c724,We-x-qatal-X clause
198,c725,We-x-qatal-X clause
199,c726,Wayyiqtol-X clause
199,c727,Infinitive construct clause
200,c728,Zero-imperative-X clause
201,c729,x-imperative-null clause
201,c730,Nominal clause
201,c731,x-imperative-null clause
201,c732,Participle clause
201,c733,x-imperative-null clause
201,c734,We-qatal-null clause
201,c735,We-qatal-null clause
201,c736,We-qatal-null clause
202,c737,Wayyiqtol-X clause
203,c738,X-qatal clause
203,c739,Participle clause
203,c740,X-qatal clause
204,c741,Wayyiqtol-X clause
204,c742,Wayyiqtol-null clause
204,c743,Wayyiqtol-null clause
205,c744,Wayyiqtol-X clause
205,c745,Wayyiqtol-X clause
205,c746,x-yiqtol-null clause
205,c747,Infinitive construct clause
205,c748,Adjective clause
205,c749,We-x-yiqtol-null clause
205,c750,Infinitive construct clause
205,c751,x-qatal-null clause
206,c752,X-yiqtol clause
207,c753,Wayyiqtol-X clause
207,c754,Wayyiqtol-null clause
207,c755,Zero-imperative-null clause
207,c756,We-imperative-null clause
207,c757,We-imperative-null clause
208,c758,We-X-yiqtol clause
208,c759,Nominal clause
